id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
3946,192.168.50.50,54:B8:0A:38:7A:BD,11335,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3947,192.168.50.50,54:B8:0A:38:7A:BD,42978,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3948,192.168.50.50,54:B8:0A:38:7A:BD,53770,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3949,192.168.50.50,54:B8:0A:38:7A:BD,29854,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3950,192.168.51.137,B8:27:EB:A3:D9:7B,60309,192.168.51.205,00:0C:29:16:71:6E,53,17,8,-1
3951,192.168.51.205,00:0C:29:16:71:6E,33751,199.9.14.201,AC:F5:E6:D9:FE:C6,53,17,2,-1
3952,192.168.60.210,B8:27:EB:B8:03:59,58107,8.8.8.8,AC:F5:E6:D9:FE:C4,53,17,4,-1
3953,192.168.51.205,00:0C:29:16:71:6E,38259,193.0.14.129,AC:F5:E6:D9:FE:C6,53,17,2,-1
3954,192.168.51.137,B8:27:EB:A3:D9:7B,38086,192.168.51.205,00:0C:29:16:71:6E,53,17,8,-1
3955,192.168.50.50,54:B8:0A:38:7A:BD,14618,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3956,192.168.50.50,54:B8:0A:38:7A:BD,16169,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3957,192.168.50.45,64:00:6A:6E:20:01,59103,172.16.31.100,AC:F5:E6:D9:FE:E8,53,17,4,-1
3958,192.168.50.45,64:00:6A:6E:20:01,49650,172.16.31.100,AC:F5:E6:D9:FE:E8,53,17,6,-1
3959,192.168.60.104,00:12:AB:1C:13:31,2065,192.168.60.205,00:50:56:B2:0A:A3,53,17,4,-1
3960,192.168.51.137,B8:27:EB:A3:D9:7B,40512,192.168.51.205,00:0C:29:16:71:6E,53,17,8,-1
3961,192.168.50.106,02:01:A6:C3:D8:5E,48921,8.8.8.8,AC:F5:E6:D9:FE:E8,53,17,4,-1
3962,192.168.50.106,02:01:A6:C3:D8:5E,51895,8.8.8.8,AC:F5:E6:D9:FE:E8,53,17,4,-1
3963,192.168.60.104,00:12:AB:1C:13:31,2064,198.60.22.240,AC:F5:E6:D9:FE:C4,123,17,2,-1
3964,192.168.50.50,54:B8:0A:38:7A:BD,26791,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3965,192.168.50.50,54:B8:0A:38:7A:BD,57486,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3966,192.168.60.159,BC:30:5B:B5:3A:D9,63412,8.8.8.8,AC:F5:E6:D9:FE:C4,53,17,2,-1
51663,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
51664,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
51668,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
